MetadataType,ComponentName,Namespace,LastModifiedDate
CustomObject,ProductAttributeSetProduct,,1970-01-01T00:00:00.000Z
CustomObject,OpportunityContactRole,,1970-01-01T00:00:00.000Z
CustomObject,PaymentGateway,,1970-01-01T00:00:00.000Z
CustomObject,Image,,1970-01-01T00:00:00.000Z
CustomObject,DataUsePurpose,,1970-01-01T00:00:00.000Z
CustomObject,PricebookEntry,,1970-01-01T00:00:00.000Z
CustomObject,AssignedResource,,1970-01-01T00:00:00.000Z
CustomObject,ProductCategory,,1970-01-01T00:00:00.000Z
CustomObject,Solution,,1970-01-01T00:00:00.000Z
CustomObject,PaymentAuthorization,,1970-01-01T00:00:00.000Z
CustomObject,ReturnOrderItemAdjustment,,1970-01-01T00:00:00.000Z
CustomObject,CreditMemoLine,,1970-01-01T00:00:00.000Z
CustomObject,CommSubscriptionChannelType,,1970-01-01T00:00:00.000Z
CustomObject,QuickTextUsage,,1970-01-01T00:00:00.000Z
CustomObject,AssetStatePeriod,,1970-01-01T00:00:00.000Z
CustomObject,Waitlist,,1970-01-01T00:00:00.000Z
CustomObject,ServiceTerritoryWorkType,,1970-01-01T00:00:00.000Z
CustomObject,AppointmentCategory,,1970-01-01T00:00:00.000Z
CustomObject,WorkPlan,,1970-01-01T00:00:00.000Z
CustomObject,CartItem,,1970-01-01T00:00:00.000Z
CustomObject,PaymentLineInvoice,,1970-01-01T00:00:00.000Z
CustomObject,ShipmentItem,,1970-01-01T00:00:00.000Z
CustomObject,DataLineageNodeDefSyncLog,,1970-01-01T00:00:00.000Z
CustomObject,WebStore,,1970-01-01T00:00:00.000Z
CustomObject,PrivacyRTBFRequest,,1970-01-01T00:00:00.000Z
CustomObject,ExpressionFilterCriteria,,1970-01-01T00:00:00.000Z
CustomObject,DataModelRelationConstraint,,1970-01-01T00:00:00.000Z
CustomObject,DataKitDeploymentLog,,1970-01-01T00:00:00.000Z
CustomObject,EmailMessage,,1970-01-01T00:00:00.000Z
CustomObject,AssistantProgress,,1970-01-01T00:00:00.000Z
CustomObject,ActvTgtPlatformFieldValue,,1970-01-01T00:00:00.000Z
CustomObject,Promotion,,1970-01-01T00:00:00.000Z
CustomObject,OpportunityLineItem,,1970-01-01T00:00:00.000Z
CustomObject,MktCalculatedInsight,,1970-01-01T00:00:00.000Z
CustomObject,WorkOrder,,1970-01-01T00:00:00.000Z
CustomObject,ExpressionFilter,,1970-01-01T00:00:00.000Z
CustomObject,WorkType,,1970-01-01T00:00:00.000Z
CustomObject,Individual,,1970-01-01T00:00:00.000Z
CustomObject,PartyConsent,,1970-01-01T00:00:00.000Z
CustomObject,ReturnOrderItemTax,,1970-01-01T00:00:00.000Z
CustomObject,AiEvalPromptTestCaseRslt,,1970-01-01T00:00:00.000Z
CustomObject,Seller,,1970-01-01T00:00:00.000Z
CustomObject,DigitalWallet,,1970-01-01T00:00:00.000Z
CustomObject,MLModelFactor,,1970-01-01T00:00:00.000Z
ReportType,flow_orchestration_step_run_ootb_crt_two_four_eight,,2025-04-09T09:39:34.000Z
ReportType,Bot_Metrics_Daily_v6,,2025-04-09T10:33:12.000Z
ReportType,Program_Progress_sfdcSESv61,,2025-04-09T09:39:34.000Z
ReportType,Program_Task_Progress_sfdcSESv61,,2025-04-09T09:39:34.000Z
ReportType,Program_Definition_sfdcSESv60,,2025-04-09T09:39:34.000Z
ReportType,flow_orchestration_log_ootb_crt_two_four_eight,,2025-04-09T09:39:34.000Z
ReportType,Bot_Metrics_Hourly_v6,,2025-04-09T10:33:12.000Z
ReportType,flow_orchestration_run_ootb_crt_two_four_eight,,2025-04-09T09:39:34.000Z
ReportType,flow_orchestration_stage_run_ootb_crt_two_four_eight,,2025-04-09T09:39:34.000Z
